Bank,Ca2,Aq2,Me2,Eq2,Lm2
Absa,0.1947,0.1596,0.025,0.0799,0.6765
AB,0.3693,0.0338,0.0123,0.031,0.6593
ADB,0.0234,0.112,0.0543,0.0452,0.65
BA,0.3162,0.123,0.0612,0.0325,1.482
CB,0.125,0.117,0.082,-0.088,1.685
Ecobank,0.1463,0.0947,0.02,0.0957,0.4837
FBN,0.569,0.2494,0.0186,0.0723,1.372
FB,0.3903,0.0335,0.0209,-0.0294,0.76
FAB,0.18,0.12,0.0152,0.0362,1.13
FNB,0.1982,0.0709,0.0449,-0.111,1.4195
GCB,0.179,0.2059,0.0373,0.0979,0.7931
GTB,0.3342,0.242,0.0115,0.0663,0.5751
NIB,0.204,0.178,0.0542,0.0502,0.972
PB,0.1423,0.2878,0.0354,-0.0686,1.66
RB,0.2125,0.1985,0.412,0.051,1.467
SGSSB,0.16,0.1348,0.026,0.166,0.8836
SB,0.123,0.896,0.0436,0.0621,0.9
SCB,0.2365,0.2853,0.0416,0.0524,0.874
UBA,0.202,0.158,0.013,0.0864,0.754
UMB,-0.21,0.3338,0.0561,0.0342,1.07
Zenith,0.36,0.038,0.0442,0.0531,0.73
